"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"4038_314.103_4.178",3766,3766,3766,3766,3766,421996.12,3766,325607.97,471412.72,549458.56,88006.28,496767.66,287502.47,585718.6,3766,607978.4,543712.9,557047.5,3766,570827.25,575557.06,534297.4,623374.3,3766,615107.94,506507.78,3766,493880.22,3766,605500.9,510702.75,489154.44,562520.25,583683.4,3766,3766,549120,517003.8,590389.5,609107.9
"4041_294.118_4.178",3766,3766,3766,3766,3766,1448964.8,3766,855732.06,1672653.9,1503408.9,259579.36,1502493.4,750924.8,1578588.9,3766,1647920,1638394.2,1723166.6,3766,1458993.8,1419009.8,1395697.9,1643666.6,3766,1607121.4,1341809,3766,1339649,3766,1562310,1290796.2,1254240.9,1452431.8,1475907,3766,3766,1377290.9,1292770.4,1521681.6,1583953
"4042_605.217_4.178",3766,3766,3766,3766,3766,62294.16,3766,33602.605,70876.48,90392.34,3766,78725.31,21871.818,100196.805,3766,104153.99,91783.55,96463.62,3766,92080.01,92156.49,80656.24,107731.92,3766,102054.086,76298.17,3766,71308.414,3766,95912.98,70488.59,67894.914,84525.89,92102.52,3766,3766,80519.445,72848.61,93077.16,100637.695
"4044_621.191_4.178",3766,3766,3766,3766,3766,11730.715,3766,8245.615,12316.68,25863.576,3766,20607.822,6268.174,29333.256,3766,32114.832,22769.773,26644.803,3766,30768.697,29289.236,24247.479,35771.25,3766,32571.623,21998.598,3766,21077.85,3766,30580.79,16722.871,14293.923,24433.443,29171.281,3766,3766,25889.688,23939.223,30121.102,31040.295
"4046_292.121_4.179",25280.643,3766,3766,3766,3766,4551377,3766,2717404.5,5273892,4719313.5,839659,4739735.5,2367624.5,4942599.5,3766,5175694.5,5139495,5383524,22542.137,4616598.5,4490211,4376377,5167609,34811.14,5043263,4235062.5,34693.73,4233529.5,3766,4908720,4079588,3944884,4564895,4665192,35944.84,42455.14,4323163.5,4091674.5,4753291.5,4977220
"4047_206.097_4.156",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4379.865,4971.5366,3766,5703.2236,3766,7142.2817,7859.062,3766,6535.5938,29558.594,3766,3766,3766,3766,3766,37057.45,30225.084,3766,3766,3766,3766
"4049_235.095_4.173",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11253.336,3766,3766,3766,3766,3766,15661.077,9896.588,3766,3766,3766,3766
"4053_355.129_4.179",3766,3766,3766,3766,3766,13149.33,3766,5941.8306,13827.625,16696.006,3766,15408.945,5360.7197,17799.3,3766,18317.219,17286.846,16713.27,3766,17867.137,18258.895,16258.572,19548.072,3766,19186.213,12801.91,3766,11559.893,3766,15812.606,9404.257,8967.432,12898.209,15207.543,3766,3766,14625.755,13114.131,15294.936,15395.387
"4054_332.074_4.179",3766,3766,3766,3766,3766,43720.516,3766,42295.05,45186.562,61717.04,7378.7754,52026.766,38227.895,67532.836,3766,70105.38,55673.918,56729.996,3766,68425.2,72318.49,63511.348,73403.414,3766,71957.516,52103.56,3766,51838.62,3766,65905.04,56145.19,52758.25,57631.855,66386.62,3766,3766,60396.15,60549.035,66731.84,67988.08
"4056_330.077_4.179",3766,3766,3766,3766,3766,112931.164,3766,108235.77,120924.805,164834.17,28582.705,139962.19,102630.5,177838.67,3766,181815.34,155146.8,152236.88,3766,178437.86,185126.62,164525.86,193770.86,3766,190660.81,136447.95,3766,135979.83,3766,175142.33,148163.31,138687.28,154826.94,174127.64,3766,3766,165113.4,154861.08,171837.67,175550.95
