"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"8446_708.453_6.186",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14001.237,5353.1167,3766,9952.107,4451.575,3766,3766,3766,10780.245,16907.615,53273.008,3766,3766,3766,3766,3766,3766,10720.744
"8447_422.882_6.259",64059.684,60079.555,59013.57,32290.896,55970.4,64212.508,29408.352,19719.18,7786.2026,7110.459,3766,57225.184,43446.887,6491.1274,33336.79,59578.184,35079.6,32554.861,53531.06,5912.4653,3766,61563.2,54536.887,30151.314,3766,60580.684,7498.4116,4549.973,6546.32,61728.055,5303.1416,7267.178,64439.03,5287.411,3766,3766,64670.38,5576.3574,60468.883,68795.63,88112.7,11506.45,41879.848,7145.946,5905.958,30026.398,5223.152,6086.887,43131.043,6694.0273,44832.867,4728.2407,6707.791,43386.145,62423.23,56505.887,24009.562,45747.996,78321.56,41707.5,42797.53,11396.712,42954.516,11135.487,10970.873,10808.687,11203.466,11155.387,6132.654,4616.9033,55830.14,53755.812,54217.21,52243.33,10624.605,16804.395,12487.593,12207.975,12299.973,8825.351
"8448_1156.606_6.223",3766,3766,3766,3766,3766,3766,3766,3766,25957.926,27865.984,5865.4546,3766,3766,15399.664,3766,3766,3766,3766,3766,10899.275,29065.098,3766,3766,3766,3766,3766,11139.389,14809.81,16016.446,3766,17221.912,18338.086,3766,22366.049,3766,3766,3766,15407.251,3766,3766,3766,22589.58,3766,29125.244,15502.151,3766,17144.441,7139.5166,3766,11635.747,3766,25231.451,24081.594,3766,3766,3766,3766,3766,3766,3766,3766,16722.516,3766,9493.495,21615.785,29858.807,22710.045,25889.893,10684.9375,16406.064,3766,3766,3766,3766,7828.926,3766,20018.258,25837.023,23857.09,18210.041
"8449_1078.131_6.219",3766,3766,3766,3766,3766,3766,3766,3766,82564.586,37814.703,61313.957,3766,3766,76584.86,3766,3766,3766,3766,3766,59752.418,72257.87,3766,3766,3766,18080.783,3766,55714.15,58791.273,58663.62,3766,38202.223,43849.727,3766,40615.33,10387.357,13154.318,3766,66097.66,3766,3766,3766,72410.03,3766,58425.977,44304.438,3766,30273.3,32474.92,3766,34355.258,3766,67606.53,71575.2,3766,3766,3766,3766,3766,3766,3766,3766,16887.04,3766,69124.8,81327.164,92305.336,65569.984,50565.484,52825.797,50541.68,3766,3766,3766,3766,73535.414,3766,58362.54,94286.76,71154.875,30798.021
"8452_1008.658_6.182",3766,3766,3766,3766,3766,3766,3766,3766,174328.5,300887.4,127182.53,3766,3766,293592.2,3766,3766,3766,3766,3766,285814.06,316459,3766,3766,3766,81440.55,3766,291293.62,257493.84,296254.28,3766,72244.45,331947.62,3766,445270.66,253799.55,122234.55,3766,412296.84,3766,3766,3766,117947.32,3766,126819.92,153551.9,3766,433880.62,345460.12,3766,242243.62,3766,419714.4,431764.3,3766,3766,3766,3766,3766,3766,3766,3766,124793.4,3766,112524.445,97706.96,104619.805,122667.7,56400.645,426664.72,474747.28,3766,3766,3766,3766,103043.25,3766,49712.445,68451.555,62349.51,101704.46
"8453_478.844_6.245",315900.25,10183.653,61593.504,39344.426,53079.92,63559.16,35046.613,47093.188,6898.713,5810.5454,3936.8882,97147.5,35368.77,5034.1035,56786.465,58804.957,44094.863,29827.95,56854.188,7741.942,6662.9956,39651.09,86898.06,56346.72,3766,92273.75,6664.711,4085.709,5486.8594,47426.062,3766,4733.7363,59968.81,5639.54,3766,3766,91554.71,5297.026,61158.688,60157.688,70695.3,12436.598,47209.6,3766,4208.1665,68714.22,3766,3766,85821.38,4403.4033,87120.89,3766,3766,50171.746,117404.63,57597.258,33705.59,27207.621,79068.84,44722.617,60783.656,10109.029,84390.13,12012.423,11335.491,10720.27,8402.254,10664.665,3766,3766,46949.1,64909.77,14864.92,48527.53,10365.073,15417.032,11917.089,8079.5186,10920.985,7949.7524
"8454_760.823_6.243",49575.434,69204.88,72555.62,5528.8823,23874.773,84613.84,22203.275,12904.574,3766,5791.175,3893.7163,36566.59,10044.351,4837.34,37761.76,52462.473,46188.844,66733.69,64817.047,5895.312,7979.0127,23325.918,50324.57,66497.89,3766,63580.49,4865.2197,5080.776,7318.4604,26884.686,5586.2,5195.8945,63520.848,4340.6494,3766,3766,26627.236,6932.0527,47153.895,52195.516,23728.352,11315.4375,47655.797,3766,5375.8174,50517.926,3766,4794.636,52940.492,6563.4346,36704.918,4139.271,3766,48817.242,37323.54,48626.996,44882.453,60759.777,44260.535,44506.6,15456.83,8032.4863,44367.4,9135.645,10787.496,10632.425,11592.065,8350.956,3766,4228.036,80401.82,36854.75,44210.27,41851.61,10820.906,16527.668,9693.847,10282.095,10208.752,8513.102
"8458_686.474_6.231",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5647.1675,3766,3766,3766,3766,3766,3766,3766,12466.092,17925.744,22215.975,3766,39833.53,16334.904,3766,3766,3766,123034.29,235554.47,271204.28,3766,3766,3766,3766,17311.338,3766,37388.08
"8459_702.863_6.242",148051.97,93013.04,102502.73,13557.372,81906.41,123646.7,63682.895,14173.445,11290.998,10981.401,11703.215,53710.42,39737.664,9474.412,116804.2,108299.53,86520.47,83615.19,109210.79,11356.046,12079.601,74804.695,87955.25,121739.16,3766,33733.95,12295.136,8771.159,9828.565,113699.836,10408.693,13115.555,109533.484,10176.198,3766,3766,133300.42,14612.767,50941.95,94600.34,81131.14,20193.727,88958.6,13909.502,11604.701,95297.05,9315.93,11759.072,88105.19,12426.784,67072.86,10391.128,17523.121,102823.66,29064.299,82348.79,65340.61,53991.89,67837.54,92962.03,88682.72,14888.699,35334.89,14066.505,17454.408,22205,19266.533,15013.192,13739.757,9637.848,125237.945,60672.56,73775.15,75491.984,11795.897,54916.91,19065.88,23021.598,20364.588,14266.31
"8461_399.308_6.171",94151.48,83833.91,72376.59,11517.846,63475.004,87716.195,29985.809,36483.43,35708.19,3766,26855.523,38700.324,22147.836,28078.738,68763.2,57461.277,102991.2,42597.246,70489.03,59363.043,23706.156,49781.344,23269.254,90571.42,18677.389,96342.32,37299.832,29376.344,32910.03,100712.195,24743.105,24872.29,83379.56,22678.053,6671.516,18169.494,78698.945,29650.896,41280.562,101148.57,51088.92,33562.17,64034.203,26740.465,19296.703,48323.008,25348.512,66461.414,95942.47,21945.857,42027.383,23102.611,19861.842,42009.023,39067.03,108025.914,111192.625,103018.664,102524.39,45298.34,44268.246,40881.477,54916.066,42066.367,47615.055,88362.19,47757.984,49228.613,37680.684,45134.25,111986.78,61779.027,112282.76,107760.29,42949.816,80993.766,52100.133,72555.6,86462.625,60784.383
"8465_739.449_6.217",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,194595.95,472381.53,3766,347627.66,14213.233,86930.34,3766,110644.21,3766,3766,3766,3766,3766,3766,3766,447760.47,128233.54,458757.66,71294.03,3766,110729.34,7149.8687,8208.351,3766,3766
"8466_745.499_6.207",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,12884.909,440744.6,82537.59,406050.28,163648.73,248671.86,3766,12186.845,3766,3766,15595.947,8778.094,27517.11,3766,3766,264921.72,180518.72,6496.783,286576.5,124287.02,625517.6,80343.41,40335.477,84648.44,65243.566
"8468_355.332_6.236",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,169214.86,3766,3766,3766,3766,3766,3766,3766,3766,3766,78001,313114.94,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8469_377.313_6.236",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6238.8276,3766,3766,3766,168065.34,3766,3766,3766,3766,3766,3766,3766,3766,3766,84046.14,264370.72,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8470_428.421_6.236",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,186639.39,3766,3766,3766,3766,3766,3766,3766,3766,3766,84773.01,304671.8,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8473_838.838_6.247",47876.543,41201.74,42213.13,3766,24318.71,51826.297,10037.828,5682.463,5232.068,4721.5654,5194.097,27227.484,9920.265,4079.1572,16937.94,25332.043,39536.535,37794.766,53754.207,4945.5703,6373.8228,26603.672,26921.61,55878.285,3766,22361.184,4681.663,4773.599,6372.2397,48702.766,4925.123,5358.232,42032,3766,3766,3766,46322.586,7295.6074,43277.99,50411.2,24879.254,8665.749,47004.684,4328.6255,4845.22,51470.145,4782.97,5485.081,19146.773,5508.8823,9626.575,3884.1035,10062.772,28272.135,26839.371,31109.637,33553.277,28945.58,26333.645,23448.629,19897.441,6182.289,20775.566,6034.7354,7552.0625,10139.668,8821.505,6574.6465,7725.3726,3766,45612.492,13460.281,12685.264,24823.02,3766,15934.512,5857.7114,10217.826,9261.559,7340.9473
"8476_410.856_6.259",81191.26,76851.164,77779.8,51781.973,80734.914,82520.586,42418.758,29149.111,8744.02,8981.935,7196.5137,24465.715,68708.47,7968.1665,75980.95,80338.96,42959.465,59647.86,80882.01,8777.092,9307.922,42809.625,74680.64,252539.55,3872.4863,89039.55,7201.959,6291.3438,6896.5273,78464.13,5843.67,7360.9326,45486.793,6635.409,3766,3766,53124.684,6376.085,84752.04,76596.55,35382.33,16192.747,39423.113,5325.2344,3766,72971.39,6296.186,5662.365,274006.28,5548.6406,55445.21,4320.44,5499.244,80955.8,88857.555,78985.19,58473.746,43577.39,77265.51,76826.06,70819.96,12556.587,71514.26,13446.527,13988.962,12947.598,12257.559,13884.762,5741.261,5320.5776,63563.42,60420.65,11272.805,44723.125,13324.808,62295.59,14573.599,13404.086,12836.017,9447.559
"8480_614.818_6.252",52526.277,49541.973,51198.105,23199.395,40579.387,17910.988,35155.95,9734.684,3766,5049.6006,3766,10026.132,22985.201,4978.8013,36399.855,61826.94,73013.5,46184.062,64649.168,4318.318,3766,50100.26,51794.43,45251.51,3766,21412.443,3766,3766,3870.7085,60056.168,3766,3766,64299.465,3766,3766,3766,58197.09,3766,10785.109,15109.993,55545.457,9267.155,19691.562,3766,3766,53524.01,3766,3766,43629.51,3766,46927.336,3766,3766,17910.75,39109.254,70889.24,8208.143,73025.45,62314.426,74560.695,43805.375,7752.991,45349.47,7820.1484,8887.383,8606.571,6949.132,9026.114,4029.1138,3766,23091.186,13342.285,33034.812,17522.514,6815.78,11191.969,8921.1045,4223.953,8840.881,5721.7407
"8485_282.279_6.202",14398.599,16056.873,16649.3,19914.354,18425.48,11536.1455,238445.12,283932.6,40783.27,87680.68,165988.23,256569.66,355725.38,104241.06,273933.2,268216.97,261351.52,250011.27,346625.53,99824.6,111459.61,216273.78,283512.47,330155.9,70443.8,353890.38,113564.05,68110.2,77309.74,434381.94,142146.3,101116.56,425419.97,88109.29,75936.67,106165.57,367710.78,91975.28,351843.47,354654.66,343429.03,28112.488,365625.88,221144.98,121147.78,335995.94,43210.97,96382.03,289734.72,94365.54,329243.88,57604.367,72210.586,385176.6,276760.25,158070.6,229877.44,77005.24,219690.98,266259.03,236364.64,23474.34,227623.69,30079.812,26931.08,25603.66,26885.363,24228.441,38841.367,64131.3,139980.7,196529.03,217581.92,187109.2,30914.021,223195.3,30476.004,21185.365,30291.172,25795.018
"8487_659.526_6.248",3766,3766,3766,3766,3766,3766,3766,3766,67256.39,3766,3766,3766,40079.887,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,29877.71,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10295.962,19081.38,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8221.809,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8488_770.85_6.247",94690.43,58009.61,73572.195,5648.586,47994.16,73817.76,35374.086,5768.6484,8152.2686,7764.664,6859.616,48254.047,34257.355,8414.965,44145.535,69729.55,61529.59,58971.98,74361.27,5213.1216,7792.7793,53144.055,64506.227,58558.727,3766,62206.246,6887.3374,6064.9917,10250.586,80169.02,3766,9582.83,55710.324,5769.4355,3766,3766,96442.56,9036.7705,68267.22,67181.89,59476.82,11756.603,64020.773,6882.727,8160.7515,73020.32,6035.786,7127.427,43751.63,7330.483,19432.582,5800.9146,11469.957,73166.06,40738.832,46461.656,46747.156,59751.05,43957.65,47631.19,64589.71,8891.396,22753.285,6871.6826,9282.36,15341.93,13421.043,10476.64,9706.303,5539.204,84284.734,52283.26,50669.44,51254.69,8736.008,19277.799,13007.631,12847.029,11842.729,6833.8647
"8495_717.467_6.191",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5249.778,8528.894,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,268181.62,334343.94,4178.7173,226169.6,43468.125,198598.12,3766,330223.72,3766,3766,3766,21837.658,3766,3766,3766,331454.62,286319.7,208710.53,91547.36,3766,271044.72,19361.635,24766.91,6494.035,3766
"8504_767.481_6.225",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,55650.39,154037.31,60358.47,138118.4,182971.11,3766,3766,3766,3766,3766,3766,4583.5786,3766,3766,17303.158,14609.613,3766,34312.85,13362.678,132691.05,31562.988,11494.995,44389.883,21510.59
"8507_692.835_6.248",117266.11,77989.62,67895.7,16590.832,73579.695,110547.64,68818.6,28451.732,9222.464,7466.9194,8174.2666,35196.637,31653.625,4844.55,78521.555,93257.15,66476.164,60714.18,95494.266,5387.1865,9363.283,94317.12,62305.246,88261.68,3766,61213.92,5602.639,6633.041,8814.705,87271.5,5591.454,7391.212,81922.58,6932.8413,3766,3766,62289.164,8847.336,94842.766,98499.46,91017.88,15175.486,64245.688,7610.4194,7464.6284,65564.81,5373.1094,6902.572,40795.64,7358.4644,21170.234,4262.101,9183.369,67687.95,54182.773,64770.71,83544.88,107664.836,77822.96,85029.375,83369.63,9960.434,39654.996,11943.709,14678.025,12368.084,13821.297,11949.408,6852.9277,6032.5293,100574.12,46910.918,62642.742,57551.492,10894.011,69172.82,13752.478,14168.539,12487.999,9867.152
"8509_616.365_6.245",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,33686.06,3766,3766,3766,3766,3766,3766,3766,3766,3766,25612.566,25404.01,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8516_288.289_6.23",3766,3766,3766,3766,3766,3766,40137.047,11517.876,9528.232,21557.365,19765.02,32389.8,9777.254,14153.648,7793.677,32699.59,11358.109,10014.417,16397.836,21132.441,14375.825,13711.393,19330.836,17766.367,3766,18280.385,12240.363,14030.718,13785.969,20932.727,7160.2603,9000.068,14985.397,10019.91,3766,3766,30880.201,7835.79,22392.25,19367.492,28242.11,3766,8196.611,13762.782,12376.52,25344.06,12104.866,3766,22115.953,10600.908,17227.56,6916.8677,35413.844,23305.07,10745.205,3766,3766,6528.454,4197.0894,3766,3766,3766,3766,3766,3766,3766,3766,3766,13429.954,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8517_546.831_6.252",58587.64,20340.19,53206.008,25442.074,41679.477,58953.684,20707.504,20837.18,5770.1113,4995.5054,3766,59598.195,53563.89,5000.631,86783.42,27168.387,76036.695,71674.04,57239.656,3766,3766,88908.92,65542.375,64792.566,3766,43486.3,3766,3766,3766,76285.91,3766,3800.087,76199.445,3766,3766,3766,60838.047,3766,61339.824,54266.64,63198.562,10835.482,36840.37,3766,3766,17966.947,3766,3766,82467.84,3766,59592.57,3766,3766,48303.84,45590.793,52970.812,58323.45,90476.7,90518.9,43767.293,55405.27,7770.92,48533.664,9549.785,9690.451,7730.1216,7705.5127,8926.086,4311.5,3766,68865.914,13036.512,73319.04,53246.746,7782.5845,50517.59,10437.12,8118.7466,9811.127,3766
"8518_614.818_6.254",51622.14,50472.406,28799.27,19523.469,38112.383,17910.988,35155.95,9734.684,3766,5049.6006,3766,10026.132,24838.252,4978.8013,38263.098,22396.158,25004.926,33412.59,23831.66,3766,3766,50356.457,22616.656,45832.27,3766,21412.443,3766,3766,3870.7085,49484.562,3766,3766,9235.509,3766,3766,3766,32900.023,3766,12575.565,13671.646,20481.352,9267.155,10124.623,3766,3766,34121.707,3766,3766,24475.629,3766,16812.324,3766,3766,19562.262,22173.06,23980.371,8208.143,25892.986,16071.911,29704.406,42198.137,7752.991,43608.023,7820.1484,8887.383,8606.571,6949.132,9026.114,4029.1138,3766,24217.299,11819.373,31173.64,14202.8,6815.78,11191.969,8921.1045,4223.953,8840.881,4363.512
"8520_484.305_6.241",3766,3766,3766,3766,3766,3766,15240.63,26384.926,13506.777,15931.911,23959.398,15190.841,26801.832,31076.889,11695.846,25251.648,22663.361,14637.512,16339.699,14911.61,17509.125,14592.683,10248.166,11387.335,3766,11610.544,10073.4375,35991.7,12049.916,15147.465,23541.848,10151.555,39436.98,9854.373,3766,3766,13079.945,8310.027,10665.072,13686.483,13101.838,5930.6777,20895.602,16827.969,17636.016,8229.754,19808.602,10763.667,9219.096,10271.437,7960.706,9707.23,5769.6562,11707.481,7616.8154,7372.422,5392.59,4114.7554,9515.178,6758.1514,6188.258,4298.3765,4056.0322,5446.569,11822.145,3766,3952.4685,11740.803,11902.047,9867.47,3766,6639.757,6458.2915,4967.0576,5756.088,14643.731,14184.598,10362.191,5194.462,8605.144
"8522_270.279_6.245",4726.463,4278.4756,4211.366,6380.401,4666.3906,4373.5923,87044.195,76100.67,93954.945,81799.72,103111.89,93677.16,83723.66,78024.46,85081.85,77164.09,81819.28,106671.28,115789.71,97129.63,97754.03,76940.76,109755.36,97024.08,222360.19,90793.375,98018.32,98491.945,104341.85,96194.52,95366.58,104883.08,143384.67,93013.29,148847.94,384273.28,85557.06,81748.98,95343.45,73411.74,96722.26,70173.266,100821.42,83492.27,66923.97,72342.516,87276.85,86489.78,92030.266,74876.195,95662.08,72524.03,68271.77,83050.51,101532.59,42842.54,33492.42,42451.703,39302.992,37524.953,32500.725,88875.88,31807.77,83071.18,94926.91,175297.6,212833.17,157692.02,83168.96,9779.172,23154.96,23375.904,31421.781,24403.598,167253.73,24694.756,483989.56,1114644.2,603211.7,908038.3
"8526_354.337_6.25",3766,3766,3766,3766,3766,3766,18818.18,21420.016,9417.469,3766,22367.232,5135.9736,15681.254,4769.18,5944.4346,5113.5654,5752.052,11915.146,3766,3766,9627.171,5758.9907,5041.8643,6355.698,5448.5547,10929.354,5204.5254,4159.647,5550.2944,14858.114,4939.3013,3766,23763.861,5743.2134,9729.496,14191.675,3934.0796,13324.236,14944.157,3766,9254.464,7467.8276,6162.6357,30036.639,25163.441,5374.787,27758.598,4449.66,6846.292,10831.988,3766,8470.57,8904.798,3766,3766,7280.144,3766,3766,5333.0913,3766,3766,3766,18790.88,3766,3766,3766,4264.2495,7672.475,7119.08,3766,3766,3766,9245.544,11311.344,4894.639,10123.568,3766,3766,3766,3766
"8528_560.386_6.21",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,17817.969,3766,3766,46643.12,3766,3766,3766,3766,3766,3766,3766,3766,3766,28289.854,75951.8,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5890.311,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"8532_298.347_6.26",22153.586,40293.973,71294.516,67088.58,437845.22,46314.074,114910.22,207210.3,132523.52,148923.31,191566.61,103749.49,464797.9,186848.33,120839.26,745613.3,62429.65,24118.293,191378.88,265980.66,130263.63,1011772.2,28179.303,18407.965,19704.32,478062.38,64847.086,15803.016,33803.395,607627.3,145194.53,148804.86,584055.56,43266.58,22011.46,86172.29,18229.86,142981.55,85630.25,49942.973,6371.7197,458289.38,1107015.1,42874.152,275467.8,6255.968,24917.91,89852.4,10347.405,59087.016,827702.8,921584.3,80644.414,22604.686,97456.086,81019.914,4294132.5,941106.5,41799.734,1956470.2,877905,122947.92,1616801.4,74627.04,218416.88,494964.97,1069204.5,385552.72,76211.234,3766,50349.9,820356.94,241958.53,247605.5,799760.94,2062395.9,518184.5,143861.75,35852.95,89689.4
"8533_376.318_6.25",6836.9966,5631.785,5897.25,3766,6869.84,5754.556,45952,42192.766,18053.145,10457.419,52228.2,12261.964,33970.754,11156.66,14277.407,14770.055,20043.002,27088.633,12771.02,7959.729,27388.535,17351.613,17579.834,23786.559,10103.349,33309.02,14337.88,10775.773,16505.703,50485.016,10714.259,8042.164,72734.84,8448.226,18470.67,19855.133,13273.375,42116.6,44276.246,16601.555,28122.697,28421.658,20491.543,72056.04,69736.984,19024.506,69785.234,14592.972,24237.34,31119.055,7961.45,22119.488,34662.87,11591.741,9373.521,27808.555,9192.131,9649.256,22795.756,10817.575,13229.508,9905.671,66631.69,7500.687,11447.774,9507.216,17012.863,20056.283,20131.104,9184.991,10522.774,12542.589,38190.145,44936.008,15624.056,36051.2,11718.875,6985.4375,11214.366,8708.079
"8545_1052.621_6.205",3766,3766,3766,3766,3766,3766,3766,3766,5652.0977,32728.78,33722.254,3766,3766,33771.92,3766,3766,3766,3766,3766,8155.7993,38298.773,3766,3766,3766,3766,3766,13479.27,18985.59,6223.0444,3766,40778.098,15772.053,3766,10423.037,6098.756,3766,3766,5690.1387,3766,3766,3766,11454.021,3766,40089.824,55032.78,3766,42684.016,12202.803,3766,6430.4023,3766,20011.037,52881.492,3766,3766,3766,3766,3766,3766,3766,3766,13832.541,3766,16799.72,11734.887,22690.002,16829.283,16869.002,16137.584,56431.35,3766,3766,3766,3766,15668.568,3766,7185.4595,17560.74,16074.298,8813.919
"8548_385.293_6.231",18538.732,10557.924,9616.439,6516.3584,10468.584,12013.703,6699.4375,6774.586,8250.383,4538.963,4580.297,12238.314,10932.811,9215.55,16514.39,10123.48,12710.269,11836.727,13411.6045,6494.8223,6274.255,44839.48,11673.891,15961.226,4659.7783,12998.111,4677.705,8030.958,8589.446,41312.07,3766,10485.883,14821.291,8799.235,3824.6775,4002.5647,9392.55,4757.4766,10786.254,29253.955,9466.227,9353.947,11714.84,7226.631,11177.916,15250.845,3766,5256.7344,9826.378,12194.405,15760.219,4245.4663,19003.494,13610.883,11814.107,34763.57,12892.524,14940.909,14226.793,11573.535,13684.023,17196.254,11682.505,13503.293,19125.861,3766,10026.475,8863.868,11425.741,3766,11920.021,9351.307,14975.736,13613.903,15061.033,10430.369,16631.273,17027.938,11476.177,19353.512
"8551_507.272_6.218",3766,3766,3766,3766,3766,3766,3766,14336.757,3766,10297.93,12210.756,6270.6504,7859.4365,26374.418,4038.4468,3766,14379.282,7262.1025,19118.97,7963.4814,3766,291086.38,5173.7207,8802.384,3766,15325.509,3766,3766,7427.002,17518.408,20029.307,3766,18542.291,3766,3766,3766,10398.347,3766,26391.518,10924.049,72906.125,7683.5654,54155.734,10674.326,21714.256,8756.666,7054.1104,16898.39,5768.0234,14909.127,4113.753,3766,27792.965,11197.057,5795.0864,5838.4814,24732.96,3766,7752.553,4081.4026,11040.381,4050.7173,3766,5561.59,19632.389,6375.6665,8588.154,3766,32319.701,12461.964,3766,6762.044,3766,40554.9,11923.505,16139.619,16819.918,22524.352,10154.435,19126.654
