"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"10938_736.543_7.61",138006.42,150165.08,73188.75,124612.48,140361.02,67708.44,181715,143590.08,153790.47,25620338,163952.17,129952.21,142522.12,155979.42,158705.2,59431.055,2817201,89776.99,134080.06,38814.746,133901.2,141002.17,55550.895,108099.586,137350.31,382966.2,67439.3,101107.3,47753.66,43498.875,83939.18,75883.234,745514.2,51404.266,85749.78,87223.93,103017.26,83910.42,60043.746,76879.34
"10940_446.887_7.595",35548.637,13959.009,10956.449,40079.414,33098.19,50978.516,27553.904,47833.695,40203.117,3766,25026.104,57152.86,6925.292,50271.58,27855.643,12998.207,6527.5986,7803.403,53985.12,47444.957,58182.32,61899.496,46234.99,29756.125,51448.234,38943.83,4216.7144,8073.105,18046.584,24938.611,7041.9814,46761.484,93321.67,146297.66,38960.086,48066.13,71831.78,61868.484,100876.32,71978.03
"10943_553.366_7.534",5984.7593,3766,3766,266930.12,3766,10176.685,3766,3766,3766,3766,3766,3766,9999.871,3766,3766,218280.36,3766,3766,3766,44034.977,3766,17904.947,157989.52,211320.17,72039.125,13035.08,3766,10622.684,52705.645,3766,11883.14,26167.64,46805.777,318160.22,372920.72,3766,3766,70986.76,89792.73,70048.055
"10945_294.939_7.597",253266.55,239980,154545.16,214017.14,219567.83,248733.72,217747.28,249204.28,251034.66,550604.3,249807.75,268324.66,266100.1,254184.72,256475.33,247968.5,47118.22,115316.97,267323.8,223035.73,262356.3,264884.56,258670.5,258235.72,258802.2,280856.38,262831.62,219917.28,237586.55,222765.89,232269.78,227446.28,232139.78,1187150.5,176729.86,214801.25,225488.7,219282.78,240079.62,117221.06
"10946_1375.339_7.594",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14193.699,3766,62488.63,60295.86,38007.08,49547.14,3766,3766,3766,3766,17262.078,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"10947_634.876_7.621",511076.6,435678.28,182372.61,428201.66,386343,490019.9,387426.2,525850.4,488395.7,448949.1,528454.5,565760.1,561945.06,528799.25,519187.66,523653.94,176654.14,29940.947,561741.3,420706.12,563818.2,601435.2,593127.94,569413.44,566687.8,604971.9,606237.56,431851.12,446087.88,396754.8,468603.22,469859.97,469798.28,265732.94,598790.25,421715.4,455427.62,422966.97,497523.25,466763.25
"10951_498.901_7.624",837960.75,721872.7,387222.62,669565.25,634741.56,821561.7,679389.56,804956.4,785399.44,1001550.94,829064.1,891973.2,903427,839206.06,862681.94,840785.5,339385.03,227559.94,885858.2,687384.9,918195.2,934719,874922.2,887155.1,936333.1,940101.5,964674.06,711038.3,753058.8,665609.4,766974.44,742448.5,761934.44,608043.5,967349.1,728307.3,747797.2,715398.6,765703.5,777626.6
"10954_473.345_7.575",43264.492,39542.266,3766,6572.7246,15971.971,35398.25,20217.979,45665.63,15907.249,3766,19035.816,31420.77,23480.812,23275.97,5490.209,11079.72,5819.6714,4444.069,12656.538,39824.008,14656.229,50676.44,14764.744,34043.4,25196.14,34306.89,52450.867,44786.137,18037.334,46078.773,22214.66,48306.605,47206.145,47175.2,27920.492,21887.168,16078.545,9567.543,23851.795,27724.588
"10955_901.585_7.592",3766,3766,3766,3766,3766,3766,29095.865,3766,3766,3766,3766,3766,3766,4604.6035,3766,3766,3766,15731.016,3766,41648.35,3766,3766,3766,13213.177,18830.715,3766,22157.588,118234.09,24336.854,136620.55,118351.414,306797.5,75469.805,7030.7676,3766,299408.25,441412.72,27343.848,240999.4,309566.2
"10956_616.485_7.577",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,104707.3,212178.4,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"10959_1246.763_7.611",44944.715,4638.3027,3766,3766,9595.45,12682.419,3766,17993.684,21019.113,3766,25721.057,44224.023,39563.11,39573.418,23562.098,29823.486,3766,3766,26045.787,10506.79,106630.08,22570.69,24506.986,46171.855,27424.389,174900.27,62885.98,20677.31,22071.604,4606.5327,3766,19973.207,5028.5415,93578.52,29412.537,13310.764,18530.316,14483.358,13235.3955,4785.825
"10960_469.925_7.599",30839.434,42546.64,3766,9537.032,22839.041,44136.254,12643.644,26868.178,39789.117,3766,42202.734,47726.43,41951.336,76635.04,7991.8,11046.977,6889.789,3766,184542.42,18254.363,207604.34,48992.91,176488.14,27189.842,83203.586,189355.55,23172.553,5043.2207,5994.4785,9968.395,6947.102,25122.777,39188.242,113850.13,19663.715,27470.463,22007.734,8932.629,18500.646,20342.537
"10963_885.674_7.587",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,255892,12343.534,90956.945,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"10970_543.396_7.582",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14058.755,33125.586,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"10974_566.888_7.631",681552.8,568476.3,291305.94,576054.1,512883.4,681673.44,553664.5,665411.25,651996.2,234249.34,703482.6,737154.44,751264.44,720802.06,709261.1,704723,258733.3,174233.03,731623.9,561449.9,752079.5,756056.56,726280.8,734533.44,778552.7,794585.4,792439,600335.8,624712.06,560188.94,643058.6,628149.9,645296.8,760536.06,792798.06,571935.44,588129.2,594313.25,634079.6,631449.2
"10977_1032.77_7.587",36084.496,53360.98,10066.104,18308.525,32553.824,56709.49,14734.439,6074.8096,58837.36,3766,38611.055,47487.746,57947.848,52516.75,30152.443,28668.297,3766,3766,19348.371,28748.88,29811.793,27726.398,22240.094,32302.762,52573.5,59786.188,46976.805,11487.152,27120.676,4772.8457,54814.7,46897.938,18367.629,11787.873,25505.16,6738.5586,13391.68,9027.986,24192.188,4771.336
"10979_896.633_7.6",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8377.313,3766,3766,3766,3766,3766,3766,3766,3766,3766,5299.2866,3766,8478.467,9715.378,35142.203,3766,3766,3766,31423.293,49118.84,75118.49,32525.273,33923.688
"10982_425.389_7.589",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,29168.326,218456.5,127061.766,4813.1733,42298.48
"10986_969.573_7.615",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,16581.305,3766,24976.99,12656.244,34578.953,6327.6807,3766,3766,35123.758,50205.57,60006.766,26063.117,35862.13
"10991_692.834_7.585",166024.55,138220.33,117528.87,158454.39,146281.78,173212.31,154384.66,89124.47,162657.17,88489.66,162434.3,158595.44,147475.94,104256.94,152846.14,166015.27,98079.03,61538.81,161888.17,165735.88,160864.92,154499.47,136829.47,154924.75,161813.56,160143.55,158019.62,159818.03,156658.84,67843.02,164134.66,149937.83,164943.05,159783.23,850937.75,147115.2,133087.33,138192.02,90734.8,118496.414
"10993_768.634_7.602",17465.557,25084.67,118831.836,39528.664,83205.49,5776.55,57662.652,6794.8516,15940.47,39120.453,6001.138,3766,3766,3766,3766,3766,84937.57,145029.78,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11002_457.349_7.606",35957.188,53008.816,41114.97,22503.873,25933.008,14076.707,53635.48,27563.54,25724.21,9707.537,61377.164,65077.39,65522.082,62152.754,61558.94,13039.302,41697.887,32801.566,63090.562,54978.098,62634.965,63301.14,32950.7,27584.506,16663.473,30177.021,66076.68,55889.65,50935.902,18313.193,28174.453,57068.38,59640.637,32843.77,23131.678,56362.527,51526.258,57173.06,38869.44,24320.508
"11008_838.838_7.666",240221.95,170225.92,43513.004,177094.55,153575.02,231230.94,174571.25,241068.89,221311.7,72321.74,258093.12,270450.34,265799.78,245514.27,264726.03,270216.2,44284.594,19201.91,265328.28,181834.84,279316.3,293102.4,294627.7,288531.75,203621.2,298801.16,294228,133392.08,194211.12,173052.52,202470.8,207831.42,207963.27,279490.97,290176.75,143021.67,198032.05,250031.06,217989.84,193888.22
"11010_575.413_7.621",7941.082,11489.77,3766,3766,5688.562,14003.424,14356.447,15798.8955,24255.97,3766,13922.478,23854.426,17151.885,12596.087,22639.102,17677.387,3766,3766,20467.398,12528.545,17357.984,17020.95,9354.93,9954.475,17873.334,16363.256,26558.996,11238.287,17457.389,6089.8516,16929.2,17959.945,13407.48,46150.64,16918.39,4703.949,29893.115,11934.031,11514.228,11992.605
"11011_298.347_7.581",3766,3766,3766,32814.145,7771.852,35422.688,20943.367,15566.928,17783.389,3766,14283.007,3766,12357.097,36443.984,46466.16,7387.505,3766,6556.8203,28121.43,10955.971,24044.96,68427.695,3766,20573.023,12712.794,204413.62,28424.92,17756.559,4038.521,36271.016,58119.566,90703.48,33350.06,26017.896,3766,53453.87,18293.703,11121.699,5260.312,24067.102
"11017_702.863_7.667",416158.34,344733.3,581548.2,58069.766,290482.78,393265,321009.9,408122.06,395077.8,285807.5,429977.2,467879.28,447665.5,432761.9,421719.12,432886.47,32980.965,47852.74,463442.16,337818.12,442675.1,457783,468006.03,472346.34,480618.75,493732.44,481620.12,333097.56,356935.94,319307.78,367140.72,349296.94,395090.53,478796.97,477616.75,342227.38,341384.6,325329.72,379418.12,362746.2
"11018_698.499_7.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,31750.256,84591.055,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11019_703.455_7.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,15228.494,43549.777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11020_754.56_7.634",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,183520.58,558822.9,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4056.3574,6140.481,5680.034,3766,6191.589
"11022_980.278_7.64",224902.98,84964.71,3766,87542.125,37868.2,175675.25,28759.977,914826.9,181224.97,3766,223359.8,3766,3766,151197.86,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11031_1110.788_7.68",67420.65,35320.98,3766,19362.742,26457.422,16740.682,53036.664,81039.97,34780.883,3766,56263.426,96116.28,71522.664,86947.414,72845.7,88489.1,3766,3766,92150.53,13262.738,89274.87,102925.805,97824.75,100773.19,101100.55,227711.3,54145.26,6625.6934,18566.355,16713.988,69327.69,11195.893,69094.37,47161,35415.043,17990.967,36512.406,22656.703,49606.52,18343.654
"11038_764.499_7.626",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,10001.58,10478.934,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11040_495.265_7.683",3766,3766,10069.255,5733.764,3766,3766,3766,3766,3766,30183.645,3766,3766,3766,3766,3766,4668.008,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11041_753.422_7.698",9712.356,13005.888,172864.34,138801.62,3766,3766,3766,5151.395,7742.4595,226837.61,3766,9280.061,3766,3766,3766,82833.086,13307.848,8563.727,3766,22187.572,7034.3936,3766,86782,69724.68,3766,3766,3766,4959.6196,15546.83,11424.423,15449.477,24350.803,39791.652,3766,3766,3766,3766,3766,23957.225,3766
"11049_1100.759_7.645",22521.637,17128.016,3766,19900.74,22473.29,115646.7,14641.163,8179.8955,31370.389,3766,37697.887,30516.049,11775.005,35541.465,24462.545,14330.068,3766,3766,24152.594,25567.309,12986.333,24983.363,37724.418,17156.64,42008.926,14489.407,28308.717,6390.991,19386.777,23321.828,32009.896,11431.436,13943.453,16225.363,20579.379,5911.562,3926.4492,4544.268,26080.453,10379.182
"11058_1375.34_7.651",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,14193.699,3766,99013.75,15148.228,92763.75,71435.52,3766,3766,3766,3766,17262.078,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11059_816.631_7.653",3766,3766,55621.812,4908.7246,16615.152,3766,13214.883,3766,3766,106658.04,3766,3766,3766,3766,3766,3766,23104.098,58238.117,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11063_1042.8_7.691",55405.945,85362.46,4830.5312,81498.65,17062.363,108648.15,32601.412,34354.88,97378.2,4996.837,105199.28,119859.57,119619.734,110098.22,114054.99,27537.201,3766,3766,126346.26,75823.9,24465.697,125339.945,126396.57,10227.151,105106.59,75044.39,127857.68,73714.375,58953.008,33493.277,24490.78,40068.2,92788.305,36195.965,96908.39,77544.664,8622.258,47071.707,149670.78,80074.29
"11066_1296.363_7.673",3766,65897.836,3766,67831.805,21911.898,3766,33518.453,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11070_838.838_7.709",253773.36,216548.67,242498.52,214270.08,171997.25,237503.61,180698.47,252083.14,238434.61,50900.48,266022.84,287581.78,276558.34,254112.34,269764.8,278990.44,32836.152,18243.885,274612.7,193729.97,282833.8,295829.5,307576.72,299596.3,256225.94,310999.97,302174.62,64213.027,201145.44,173523.52,62192.77,206329.55,223821.98,290368.84,241778.28,178414.12,194355.81,180700.94,219070.19,147318.48
"11072_782.643_7.67",3766,17194.283,78376.85,10470.389,9590.717,3766,33165.52,3766,3766,5016.9155,3766,3766,3766,3766,3766,3766,34630.832,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11073_637.587_7.653",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5776.3916,36724.562,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11074_607.39_7.677",3766,3766,22520.96,9409.264,3766,3766,3766,3766,3766,37753.266,3766,3766,3766,3766,3766,4105.906,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3814.7788,3766,3766,3766,3766,3766,3766
"11080_770.851_7.72",328853.38,277132.88,56457.52,75877.02,224064.97,323438.8,241181.52,318371.4,307322.03,81400.7,332272,333536.94,336118.88,341453.47,337974.8,362291.62,100221.19,13486.445,366514.78,251689.69,364065.44,374270.22,379570.78,385521.03,343964.03,375493.2,379373.75,242064.3,276968.88,234624.81,284080.53,278286.1,297274.6,327127.75,376577.03,245716.4,263272.75,100050.33,300185.75,279980.1
"11081_964.784_7.67",11947.057,38015.152,3766,46591.387,57215.312,362369.44,59310.4,42723.594,53852.3,3766,61730.58,34667.31,61706.48,27204.871,53330.35,35132.99,9688.514,3766,75125.35,13986.797,28697.887,74510.24,66206.04,71334.25,10832.264,21370.65,50006.13,27224.605,37707.293,64570.57,60269.234,34448.477,34579.074,17602.393,39492.6,24082.742,56100.51,26152.238,51498.31,58759.5
"11083_794.65_7.678",127918.88,113849.1,393053.75,112994.164,156416.44,69422.56,15184.145,58463.78,41005.152,630631.4,13110.67,6670.325,3766,18699.467,20256.328,8003.6196,470734.47,355525.72,10247.492,3766,5349.741,3766,3766,3766,6557.8433,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11084_828.809_7.682",111873.57,99407.86,32126.723,81940.164,90650.305,28962.254,95765.1,111894.78,21323.64,14105.8,98793.914,60030.594,98681.53,109663.805,105360.26,94299.52,17359.219,13985.189,109899.13,109032.51,107109.766,109282.92,73208.914,51603.38,109622.44,100384.26,86128.74,89462.16,72830.34,30055.309,103419.734,90082.15,102754.8,543673.7,51446.508,87140.34,86705.28,76386.61,85490.86,81164.81
"11093_586.48_7.653",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,13233.9795,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11100_616.533_7.657",3766,59903.023,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,28280.973,3766,3766,3766,3766,3766,3766,3766,14654.99,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11105_717.468_7.672",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11546.619,3766,3766
"11108_1077.223_7.717",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,78430.46,185585.33,167187.81,158003.4,416239.78,444548.1,3766,3766,3766,3766,3766,3766,250487.73,262560.1,3766,3766,3766,3766,3766
"11114_556.86_7.669",214384.28,203058.14,79569.41,214974.44,207551.6,219461.2,207654.44,215890.83,211777.83,19359.365,215454.72,203358.11,139533.73,204326.48,203043.22,163707.17,143275.39,104286.08,203460.66,225337.66,209181.97,210765.27,93392.766,195746.92,197585.08,202151.89,200999.66,207739.6,231225.9,213510.73,208132.75,192279.4,209492.69,220662.06,194804.1,198533.08,171142.77,167205.73,191890.23,185894.97
"11116_927.188_7.683",3766,3766,40716.957,51406.64,70108.88,3766,91316.88,3766,3766,8963.201,3766,3766,3766,3766,3766,3766,39672.984,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11125_901.585_7.678",3766,3766,3766,3766,3766,3766,44170.336,3766,3766,3766,3766,3766,3766,10788.29,3766,3766,3766,32947.84,3766,67846.72,3766,3766,3766,26715.855,18696.277,3766,23534.934,198617.27,46368.117,194431.7,192328.3,434669.34,104068.32,71606.82,3766,352438.62,595452.25,547476.4,293881.25,422813.78
"11126_1325.904_7.691",3766,3766,10569.996,13574.771,3766,3766,3766,3766,3766,63635.81,3766,3766,3766,3766,3766,6288.46,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11127_1056.296_7.695",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,80672.95,182302.7,134967.94,133487.06,91626.11,276987.75,3766,3766,3766,3766,3766,3766,303099.22,309616.4,3766,3766,3766,3766,3766
"11149_768.634_7.681",6704.843,22742.203,128220.49,23682.697,89608.32,9707.805,47157.39,5785.547,20324.223,210814.88,7653.983,3766,3766,3934.8835,3766,3766,156598.34,151997,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11150_242.925_7.719",77652.6,71022.7,51998.504,74848.14,72813.33,358022.4,68531.5,48629.836,55359.164,22699.7,72746.42,15774.556,82614.84,66250.62,79137.32,89039.02,46669.03,30891.72,15870.078,73299.875,67643.336,85166.33,18890.334,21034.02,39066.273,86982.8,84746.95,74307.04,56106.195,71593.125,58944.086,27261.625,34578.242,66003.875,88040.52,40268.496,72596.94,51419.895,60911.777,12856.853
"11152_1178.776_7.717",22665.787,14790.677,3766,5826.6826,37359.875,130604.82,14594.441,30880.697,122940.44,3766,66639.25,57901.016,80813.69,65464.613,15338.044,77715.67,3766,3766,79270.695,33713.227,73127.68,55204.652,80121.945,19086.86,35608.566,19147.283,37557.39,57561.895,24886.64,20389.416,88234.99,18889.385,46978.938,60913.336,46732.4,14320.717,16592.176,25650.57,22788.475,14471.296
"11153_490.869_7.675",79467.37,631002.7,26246.66,86101.66,77075.98,75835.74,62894.797,58873.816,509417.28,3766,50825.39,60905.82,58608.84,62375.69,76894.81,49401.438,27081.156,8719.025,74249.24,86546.2,43613.777,33866.855,36800.848,73377.13,26843.973,69949.49,23425.324,83775.14,88110.54,83333.734,40841.89,74168.78,38378.88,23305.621,71391.96,37608.812,30791.678,62638.777,30078.742,71173.02
"11155_825.533_7.667",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5164.0107,10585.295,3766,3766,3766,10886.755,11929.597,14348.961,8820.826,14606.343
"11158_1391.313_7.707",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7271.3145,3766,45643.69,38644.812,261117.75,53635.01,3766,3766,3766,3766,26411.207,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11159_294.939_7.72",253372.39,244614.88,73416.99,1199959.1,225111,269205.8,238511.78,263784.72,259605.3,75741.375,265253.8,270993.4,274195.34,268488.47,265529.12,255734.89,150941.9,124086.82,275457.6,232796.83,277053.28,261549.12,263613.97,272452.78,268806.3,291497.25,282892.25,229430.92,254151.62,229618.53,241634.34,236232.36,241139.05,260889.64,260849.53,224491.86,224439.8,219836.97,237069.03,231295.62
"11160_1032.771_7.693",191797.86,109878.016,3843.4028,6927.776,132621.7,198384.6,37149.477,28993.768,191215.52,3766,41653.258,60947.297,28885.188,37376.418,54255.36,23220.66,4085.1426,3766,48738.684,37484.31,20277.78,49710.09,14277.222,34176.754,20505.957,256122.9,16261.123,29984.652,6484.49,22677.324,145013.83,16712.105,29995.506,14366.563,41338.098,45165.26,28767.691,19663.428,6163.771,27307.53
"11161_1301.319_7.702",3766,100982.555,6756.3745,124284.97,49635.406,3766,35273.426,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5479.448,4250.6216,7723.12,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11163_821.409_7.711",3766,3766,32859.77,40857.04,3766,3766,3766,3766,3766,48329.742,3766,3766,3766,3766,3766,26082.16,3766,3766,3766,3766,3766,3766,18372.932,24627.598,3766,3766,3766,3766,6000.0894,3766,3766,3766,3766,3766,3766,3766,3766,5028.1694,3889.876,3766
"11164_1364.86_7.702",3766,3766,20565.385,6648.6157,3766,3766,3766,3766,3766,28506.29,3766,3766,3766,3766,3766,10610.061,3766,3766,3766,3766,3766,3766,3825.1902,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11165_207.124_7.677",41555.527,32546.422,3766,66246.92,427678.4,20027.184,52484.895,41570.4,62170.926,29861.953,55444.01,58539.14,19410.33,23971.965,28368.86,57854.35,37805.527,7646.871,21497.418,41855.125,60006.617,57447.234,56827.555,46442.82,30500.752,29603.127,17399.654,14386.605,46787.965,54590.504,56898.43,11051.918,27311.475,41888.51,54440.36,18327.84,56617.67,47127.668,47506.414,23941.799
"11167_473.345_7.703",49369.406,34229.57,3766,4259.3955,6250.6577,9068.006,6331.5527,181699.36,43803.926,3766,34104.344,39688.04,48276.453,34522.19,49188.098,36822.36,6602.749,6744.309,39987.855,18509.307,70727.984,33551.004,46643.72,5800.136,20246.309,53289.01,54024.81,20706.146,47086.22,102509.83,18075.838,117407.09,79162.49,37111.24,27920.492,36324.85,65495.504,37331.07,89259.6,167929.95
"11169_969.573_7.677",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19500.547,3766,19556.742,19007.395,46119.773,6980.2437,3766,3766,36053.766,64428.277,83151.08,29975.213,45043.79
"11171_786.532_7.718",3766,3766,17004.402,25291.746,3766,3766,3766,3766,3766,6676.6636,3766,3766,3766,3766,3766,23673.49,3766,3766,3766,3766,3766,3766,18710.086,11939.275,3766,3766,3766,3766,3766,3766,3766,3766,5028.1167,3766,4375.8184,3766,3766,9173.905,5672.419,3798.5469
"11172_757.643_7.679",3766,3766,3766,3766,3766,3766,3766,3766,3766,4549.481,3766,3766,3766,3766,3766,3766,23575.562,149624.73,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11177_706.542_7.681",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,56339.395,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"11179_957.384_7.712",3766,3766,26387.66,29381.707,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,25433.316,3766,3766,3766,3766,3766,3766,14680.382,10118.882,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4388.387,3766
"11180_385.292_7.687",46114.816,25219.71,5592.5254,20854.164,17541.824,30815.342,24634.11,20289.365,25959.463,3766,47473.62,4356.3936,9494.433,13234.37,30680.99,5541.756,5470.2812,3766,36296.926,31810.729,23062.258,28503.516,9606.961,11266.99,46651.613,19998.035,31147.37,12777.591,14130.054,5474.21,16468.525,33444.727,14743.805,34465.55,37501.69,10616.841,44725.5,8403.871,28060.068,45502.777
"11182_896.633_7.675",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8377.313,3766,3766,3766,3766,3766,3766,3766,3766,3766,12842.117,3766,9383.638,9714.061,45054.98,3766,3766,3766,39519.895,67302.09,76866.47,27409.826,44071.332
"11183_531.387_7.699",69525.61,8138.629,4319.755,23566.986,28803.043,11811.854,16322.24,44491.92,46035.258,3766,49240.55,47786.26,44352.055,48085.67,65315.09,56161.92,6536.31,3766,55869.805,55478.125,125272.05,26109.477,43775.47,12472.341,27549.553,60560.63,13678.362,74545.7,20482.42,41470.305,78976.445,71097.1,75250.875,22292.666,26991.12,11570.197,70250.5,9139.434,23966.55,19288.143
