ID1,ID2,EdgeType,Score,Annotation
5245,5246,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5277,5279,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
5277,5278,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
5278,5279,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
5328,5329,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
5328,5330,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
5329,5330,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5362,5392,MS1 annotation,2.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9921
5382,5384,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9822
5395,5419,MS1 annotation,11.000,[M+NH4]+ [2M-H2O+Na]+ dm/z=543.2337
5395,5412,MS1 annotation,11.000,[M+H]+ [2M-H2O+Na]+ dm/z=560.2602
5400,5401,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9819
5411,5415,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9829
5411,5415,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9829
5412,5414,MS1 annotation,11.000,[2M+Na]+ [M+H]+ dm/z=578.2719
5414,5419,MS1 annotation,11.000,[M+NH4]+ [2M+Na]+ dm/z=561.2455
5419,5494,MS1 annotation,11.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
5439,5444,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9828
5461,5478,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
5479,5521,MS1 annotation,11.000,[2M+Na]+ [M-H2O+H]+ dm/z=596.2840
5479,5494,MS1 annotation,11.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9923
5479,5562,MS1 annotation,11.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
5494,5545,MS1 annotation,11.000,[M+H]+ [M+Na]+ dm/z=21.9818
5494,5562,MS1 annotation,11.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
5521,5545,MS1 annotation,11.000,[M+H]+ [2M+Na]+ dm/z=578.2736
5521,5562,MS1 annotation,11.000,[M+NH4]+ [2M+Na]+ dm/z=561.2468
5538,5540,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9825
