"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"771_570.276_5.489",118800.47,128982.83,131509.38,152862.42,119633.54,108448.57,121226.47,102694.1,120143.62,127427.03,115711.234,98470.91
"475_570.276_4.674",47578.85,42112.234,44266.25,31858.744,39085.54,33520.98,34578.215,33745.99,32201.73,35478.094,35392.242,34447.656
"533_570.276_4.91",36553.98,55199.227,41211.42,28500.65,24613.514,29201.15,75366.76,30011.488,48093.594,31023.336,37922.164,31727.61
"4738_572.309_11.384",32084.28,22876.25,27895.342,0,2018.8645,4395.551,4456.0703,5197.3145,12379.066,0,0,0
"7117_572.416_13.246",12915.748,11316.081,19252.033,18291.35,25348.764,23310.717,2338.8098,0,0,0,0,0
"7424_572.416_13.823",2553.447,0,0,0,8417.895,11381.819,0,0,0,0,0,0
"1026_573.24_5.843",73968.89,72875.81,77929.63,84648.75,82413.87,96343.84,41195.984,44338.758,56109.79,31986.375,40209.867,40464.86
"244_574.224_1.08",75218.63,51601.402,70002.7,0,0,0,80481.14,62843.203,73801.984,67716.26,43662.58,60399.605
"5690_574.325_12.221",0,36061.383,0,258192.81,110795.08,0,121282.39,0,0,2168.0327,0,0
"5562_574.325_12.129",957072,987347,122976.53,624252.5,562732.06,689225.6,0,149045.25,152431.62,0,0,0
"5419_574.325_12.016",199208.3,25035.469,930345,16183.442,12045.377,14685.738,4679.0566,6272.1416,12459.742,0,0,0
"7393_574.432_13.768",20755.78,22228.809,27200.479,4788.2812,10385.571,12797.788,12948.485,8684.311,6476.332,0,0,0
"3201_575.122_8.712",59025.508,61991.61,59486.703,65020.285,62257.26,75193.03,32617.438,32743.791,37931.266,20235.44,27880.625,30310.828
"2529_575.292_7.486",28837.127,28007.953,29627.068,171948.05,170815.1,192004.61,9702.636,21133.623,20475.98,16275.348,21994.668,18706.816
"7366_575.503_13.675",35729.742,0,0,0,0,0,0,0,0,66982.87,0,0
"7439_575.503_13.836",45815.92,0,0,0,0,0,0,0,0,29873.94,0,0
"2474_576.322_7.423",72621.62,82151.45,78304.02,103121.96,97669.75,110185.5,42560.535,46966.812,53276.32,42840.688,46463.344,48439.86
"4746_577.264_11.378",39076.926,31309.031,31593.027,47507.562,31354.605,13818.359,0,3416.0742,3377.912,2343.6162,2829.4607,2305.1416
"4051_577.267_10.553",0,0,0,0,0,0,0,0,4670.4414,0,0,0
"4731_577.353_11.382",28112.18,18421.477,22865.77,166343.64,179366.42,174605.08,4795.5044,8368.418,7879.7354,0,0,0
"7118_577.372_13.252",9701.594,5932.7905,8812.632,19248.121,8545.525,9754.775,0,0,0,0,0,0
"7620_577.519_15.093",0,0,0,0,0,0,0,0,0,0,169964.39,0
"7593_579.26_14.973",18584.43,22070.223,18875.973,121469.26,139882.95,118733.78,0,3113.9956,2828.0762,0,0,0
"5362_579.28_11.991",69954.64,0,54903.242,0,25114.5,49148.07,2107.398,21017.14,17456.78,1861.9854,0,0
"5494_579.28_12.07",1273516.6,1292488.9,1287814.1,0,789588.06,859576.7,18821.807,0,2264.751,0,0,0
"5667_579.28_12.228",0,0,0,0,0,0,216215.72,0,0,10896.087,0,0
"5594_579.281_12.125",656158.7,628645.44,508410.16,849567,485122,483624.3,0,238438.83,231628.27,3235.145,0,0
"7737_579.281_15.953",30402.38,11081.725,0,12131.313,13362.219,0,0,2256.859,0,0,0,0
"4125_579.282_10.636",0,4718.9785,4114.5684,5514.488,0,15616.75,0,0,3227.704,0,4252.089,0
"4337_579.282_10.918",0,3498.7212,0,0,6442.756,0,0,4421.302,0,0,0,0
"4594_579.283_11.228",8962.239,0,22729.318,0,0,0,3520.6245,0,3197.769,0,0,1854.3363
"4264_579.283_10.785",10887.079,0,5632.6416,0,0,0,0,2478.1416,0,0,0,0
"7406_579.387_13.829",0,0,0,0,0,2155.4697,0,0,0,0,0,0
"7384_579.387_13.763",2758.9685,6710.801,8782.838,0,0,0,0,2476.5288,0,0,0,0
"5116_581.298_11.736",8304.146,3280.0503,3073.8418,0,0,0,0,0,0,0,0,0
"4852_581.298_11.494",3576.2861,22273.43,9267.213,0,0,3115.6226,2212.9048,3465.1458,4877.2124,0,0,0
"7394_583.291_13.789",67530.65,60321.77,64855.965,14912.108,17469.576,17704.541,32362.348,37788.496,33251.793,0,0,0
"6251_583.314_12.604",85173.66,81303.125,92036.04,0,0,0,0,11805.554,13652.071,0,0,0
"977_584.292_5.791",48897.67,51558.797,43161.89,49906.246,52826.637,51798.71,22289.533,27995.137,35764.902,34622.844,32158.545,34753.445
"791_584.292_5.512",44155.86,40576.54,40068.707,30130.156,32575.68,35291.945,37058.305,32780.836,39294.062,31969.066,35678.914,36525.367
"7097_585.358_13.232",18931.51,20603.902,19512.43,181323.1,183919.77,189728.64,0,0,0,0,0,0
"7428_586.432_13.828",46009.28,41399.363,54563.527,70096.54,90044.16,102040.13,2375.5774,4944.196,2393.9375,0,0,0
"7379_586.432_13.741",11997.885,16644.916,13391.19,78364.336,34765.76,40390.953,0,0,0,0,0,0
"347_588.24_2.105",404952.9,0,362414.34,0,0,0,291092.66,277933.16,267692.06,186239.22,174630.08,64241.746
"342_588.24_2.058",0,387112.47,122315.25,0,0,0,103490.414,76904.05,71888.23,54864.28,65053.992,171479.12
"315_588.24_1.5",121895.125,111501.64,120034.7,0,0,0,77174.3,75309.55,81422.09,32325.668,33939.67,34975.863
"1703_588.41_6.539",194953.27,220781.1,227926.58,155126.81,182776.97,181197.11,251752.45,235652.95,229453.73,231498.58,264106.03,253478.52
"7534_588.447_14.444",28778.053,27959.256,24479.98,0,0,0,11764.448,11226.092,12901.143,0,0,0
"7153_589.482_13.309",0,0,0,0,0,0,4844.7,8449.076,5042.4697,0,0,0
"7653_589.483_15.65",2622.5105,0,0,0,0,0,0,4540.173,0,0,0,0
"3584_590.405_9.632",27470.68,32244.83,38358.227,67430.1,64345.887,66170.3,59180.695,58888.27,60112.863,66243.086,65266.4,65802.97
"6003_590.426_12.451",96650.66,88857.1,93143.02,115349.39,120827.414,116057,74824.48,78905.234,84805.16,81324.99,61257.926,78674.5
"7430_591.498_13.828",72053.06,0,0,0,0,0,0,0,0,71881.89,0,0
"7486_591.498_13.957",61344.3,0,0,0,0,0,0,0,0,68105.516,0,0
"1924_592.354_6.779",39057.574,45141.113,40182.184,58182.523,58382.81,57546.938,23981.61,22462.781,30810.836,23541.193,24347.203,23440.674
"7339_593.276_13.619",45253.562,43310.125,44761.07,14590.305,10589.645,13462.701,13559.936,13746.818,11277.163,0,0,0
"7588_595.291_14.856",11875.527,8324.611,0,35435.07,54451.63,60606.445,0,0,0,0,0,0
