"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"28305_420.332_10.171",8115,8115,8115,99026.64,125109.9,111456.29,50321.117,14573.889,63672.555,58480.24,59372.984,83316.25,100866.75,84458.5,84870.02
"27014_420.332_9.783",8115,8115,8115,85813.47,92146.14,154736.48,54806.242,48076.4,48919.406,46439.95,40216.555,54604.965,49708.016,113549.51,53238.836
"10510_421.148_6.976",8115,8115,8115,271828.53,628550.3,273745.78,247133.16,229371.08,139961.4,250710.11,241303.19,232437.86,132136,264516.03,250558.16
"13580_421.148_7.384",8115,8115,8115,1475280.8,365433.3,1327340,336165.97,354200.5,324758.12,1434552.6,635361.7,1368877.1,1427742.1,1290397.4,1413491.4
"12562_421.148_7.215",8115,8115,8115,218706.22,366793.38,308433.28,215195.19,90589.69,236143.97,245033.66,244160,118873.625,264774.53,280017.34,298046.28
"17435_421.149_7.95",8115,8115,8115,336553.6,309290.56,1126786.2,288332.47,401015.4,383947.34,253901.88,268879.06,269385.28,242754.66,196091.44,282949.38
"11389_421.163_7.041",8115,8115,8115,29514.227,14560.02,11270.322,38536.207,40247.812,79421.695,8185.765,28535.016,12818.131,8115,10134.021,8115
"22937_421.186_8.816",8115,8115,8115,3405268.8,368883.88,357455.8,472859.9,487305.44,468276.34,213169.31,2664036,277293.72,279931.38,2390496.2,255720.12
"20837_421.186_8.436",8115,8115,8115,342747.72,335469.38,357495.62,379396.56,329716.72,314521.16,300128.2,275641.9,2708936.8,289037.8,297188.62,2687332.2
"24645_421.186_9.162",8115,8115,8115,207637.56,176096.62,266177.2,450069.5,500158.8,499115.66,257971.34,114405.875,230653.77,2937419.5,254820.14,247328.62
